A0A024RBG1	NUDT4B
A0A075B6H9	IGLV4-69 {ECO:0000303|PubMed:11872955;ECO:0000303|Ref.3}
A0A075B6I0	IGLV8-61 {ECO:0000303|PubMed:11872955;ECO:0000303|Ref.3}
A0A075B6I1	IGLV4-60 {ECO:0000303|PubMed:11872955;ECO:0000303|Ref.3}
A0A075B6I4	IGLV10-54 {ECO:0000303|PubMed:11872955;ECO:0000303|Ref.3}
A0A075B6I9	IGLV7-46 {ECO:0000303|PubMed:11872955;ECO:0000303|Ref.3}
A0A075B6J1	IGLV5-37 {ECO:0000303|PubMed:11872955;ECO:0000303|Ref.3}
A0A075B6J6	IGLV3-22 {ECO:0000303|PubMed:11872955;ECO:0000303|Ref.3}
A0A075B6J9	IGLV2-18 {ECO:0000303|PubMed:11872955;ECO:0000303|Ref.4}
A0A075B6K0	IGLV3-16 {ECO:0000303|PubMed:11872955;ECO:0000303|Ref.4}
A0A075B6K2	IGLV3-12 {ECO:0000303|PubMed:11872955;ECO:0000303|Ref.4}
A0A075B6K4	IGLV3-10 {ECO:0000303|PubMed:11872955;ECO:0000303|Ref.4}
A0A075B6K5	IGLV3-9 {ECO:0000303|PubMed:11872955;ECO:0000303|Ref.3}
A0A075B6K6	IGLV4-3 {ECO:0000303|PubMed:11872955;ECO:0000303|Ref.3}
A0A075B6N1	TRBV19
A0A075B6N2	TRBV20-1
A0A075B6N3	TRBV24-1
A0A075B6N4	TRBV25-1
A0A075B6P5	IGKV2-28 {ECO:0000303|PubMed:11549845;ECO:0000303|Ref.3}
A0A075B6Q5	IGHV3-64 {ECO:0000303|PubMed:11340299;ECO:0000303|Ref.3}
A0A075B6R0	TRGV2
A0A075B6R2	IGHV4-4 {ECO:0000303|PubMed:11340299;ECO:0000303|Ref.3}
A0A075B6S0	TRGJ1
A0A075B6S2	IGKV2D-29 {ECO:0000303|PubMed:11549845;ECO:0000303|Ref.3}
A0A075B6S4	IGKV1D-17 {ECO:0000303|PubMed:11549845;ECO:0000303|Ref.3}
A0A075B6S5	IGKV1-27 {ECO:0000303|PubMed:11549845;ECO:0000303|Ref.3}
A0A075B6S6	IGKV2D-30 {ECO:0000303|PubMed:11549845;ECO:0000303|Ref.3}
A0A075B6T6	TRAV12-2
A0A075B6T7	TRAV6
A0A075B6T8	TRAV9-1
A0A075B6U4	TRAV7
A0A075B6V5	TRAV36DV7
A0A075B6W5	TRAV23DV6
A0A075B6X5	TRAV18
A0A075B6Y3	TRAJ3
A0A075B706	TRDJ1
A0A075B759	PPIAL4E
A0A075B767	PPIAL4H
A0A087WSX0	IGLV5-45 {ECO:0000303|PubMed:11872955;ECO:0000303|Ref.3}
A0A087WSY4	IGHV4-30-2 {ECO:0000303|PubMed:11340299;ECO:0000303|Ref.3}
A0A087WSY6	IGKV3D-15 {ECO:0000303|PubMed:11549845;ECO:0000303|Ref.3}
A0A087WSZ0	IGKV1D-8 {ECO:0000303|PubMed:11549845;ECO:0000303|Ref.3}
A0A087WSZ9	TRAV30
A0A087WT01	TRAV27
A0A087WT02	TRAV9-2
A0A087WT03	TRAV26-1
A0A087WTH1	TMEM265
A0A087WTH5	KCNE1B
A0A087WUL8	NBPF19
A0A087WV62	TRBV16
A0A087WVF3	TBC1D3D
A0A087WW87	IGKV2-40 {ECO:0000303|PubMed:11549845;ECO:0000303|Ref.3}
A0A087WWA1	P3R3URF
A0A087WX78	ELOA3C
A0A087WXM9	MEIKIN
