A0A0B7P3V8	TY4B-P
O13297	CET1
O13329	FOB1
O13516	RPS9A
O13527	TY1B-A
O13535	TY1B-H
O13539	THP2
O13547	CCW14
O13563	RPN13
O14467	MBF1
O60200	MDM35
O74700	TIM9
O75012	MRP10
O94742	SEM1
P00044	CYC1
P00045	CYC7
P00127	QCR6
P00128	QCR7
P00163	COB
P00175	CYB2
P00330	ADH1
P00331	ADH2
P00358	TDH2
P00359	TDH3
P00360	TDH1
P00401	COX1
P00410	COX2
P00420	COX3
P00424	COX5A
P00427	COX6
P00431	CCP1
P00445	SOD1
P00546	CDC28
P00549	CDC19
P00560	PGK1
P00572	CDC8
P00635	PHO5
P00724	SUC2
P00729	PRC1
P00812	CAR1
P00815	HIS4
P00817	IPP1
P00830	ATP2
P00854	ATP6
P00890	CIT1
P00899	TRP2
P00924	ENO1
P00925	ENO2
P00927	ILV1
P00937	TRP3
P00942	TPI1
P00950	GPM1
P00958	MES1
P01094	PAI3
P01119	RAS1
P01120	RAS2
P01123	YPT1
P02293	HTB1
P02294	HTB2
P02309	HHF2
P02400	RPP2B
P02406	RPL28
P02557	TUB2
P02829	HSP82
P02992	TUF1
P02994	TEF2
P03069	GCN4
P03870	FLP1
P03871	REP1
P03873	BI2
P03877	AI3
P03878	AI4
P03879	BI4
P03962	URA3
P03965	CPA2
P04037	COX4
P04039	COX8
P04050	RPO21
P04051	RPO31
P04147	PAB1
P04385	GAL1
P04386	GAL4
P04387	GAL80
P04397	GAL10
P04456	RPL25
P04710	AAC1
P04786	TOP1
P04802	DPS1
P04806	HXK1
P04807	HXK2
P04817	CAN1
P04819	CDC9
P04821	CDC25
P04840	POR1
P04911	HTA1
P04912	HTA2
P05030	PMA1
P05066	PHR1
P05150	ARG3
P05317	RPP0
P05318	RPP1A
P05319	RPP2A
P05373	HEM2
P05374	CHO2
P05375	OPI3
P05453	SUP35
P05626	ATP4
P05694	MET6
P05737	RPL7A
P05739	RPL6B
P05740	RPL17A
P05744	RPL33A
P05745	RPL36A
P05748	RPL15A
P05750	RPS3
P05755	RPS9B
P05756	RPS13
P05759	RPS31
P05986	TPK3
P06100	CDC36
P06101	CDC37
