Protein,log2FC,pval,adjpval,Proteinnoiso,Gene Symbol,# PSMs,PSM Cutoff
P20042,1.044904461,0.005555916,0.053432687,P20042,EIF2S2,1,5
Q09161,-1.188672186,0.02489945,0.122837285,Q09161,NCBP1,3,
O95232,-0.150851572,0.078569979,0.238112709,O95232,LUC7L3,1,
P15927,-0.757772759,0.02847552,0.133085588,P15927,RPA2,1,
Q9Y3D0,-0.434053217,0.265924319,0.461212492,Q9Y3D0,CIAO2B,1,
O43175,0.730507569,0.00597779,0.053432687,O43175,PHGDH,13,
P43307,0.90207354,0.055929228,0.19943184,P43307,SSR1,2,
P07814,0.660102611,0.013365406,0.081851591,P07814,EPRS,11,
Q9UBM7,1.50577314,0.004093124,0.046598643,Q9UBM7,DHCR7,2,
Q6UN15,-0.843107641,0.041318812,0.164534105,Q6UN15,FIP1L1,7,
O95639,-0.220875529,0.057502811,0.199462877,O95639,CPSF4,3,
P06493,1.050195799,0.044307262,0.171064558,P06493,CDK1,3,
P62273,1.423056626,0.083167104,0.243737254,P62273,RPS29,1,
P10276,-1.29045134,0.018590998,0.104345879,P10276,RARA,50,
Q8N257,0.530295051,0.6606817,0.801062428,Q8N257,HIST3H2BB,15,
Q3ZCQ8,0.779666333,0.007217934,0.057743472,Q3ZCQ8,TIMM50,3,
P30536,0.550360884,0.070677619,0.223351336,P30536,TSPO,1,
P53985,0.318811395,0.400320027,0.576951835,P53985,SLC16A1,3,
P42356,0.852859973,0.097681468,0.27022163,P42356,PI4KA,1,
P27694,-0.716089534,0.051664589,0.189274719,P27694,RPA1,2,
Q15181,-0.283020614,0.302584276,0.487649433,Q15181,PPA1,1,
P46781,-0.303855174,0.096372141,0.268271038,P46781,RPS9,10,
P52292,0.218731771,0.655782842,0.797719402,P52292,KPNA2,4,
Q9Y2X3,0.338094222,0.069073341,0.220637146,Q9Y2X3,NOP58,3,
P28331,1.923163993,0.000576551,0.014221582,P28331,NDUFS1,19,
P62314,-0.529397042,0.375571434,0.561460325,P62314,SNRPD1,1,
P46109,-0.301344814,0.220632761,0.423157434,P46109,CRKL,1,
P62841,1.162321357,0.099241276,0.273343546,P62841,RPS15,2,
P11940,0.440517221,0.197879455,0.393361349,P11940,PABPC1,7,
P53597,1.394692049,0.022774943,0.119875044,P53597,SUCLG1,2,
Q96KR1,-0.376475099,0.167596013,0.372995637,Q96KR1,ZFR,1,
Q52LJ0,0.057564458,0.851650981,0.910573904,Q52LJ0,FAM98B,1,
Q9BPX5,-0.364131929,0.057254347,0.199462877,Q9BPX5,ARPC5L,1,
P15880,0.358565522,0.396880758,0.576951835,P15880,RPS2,15,
P50454,0.928205865,0.323709473,0.51057551,P50454,SERPINH1,2,
P09543,0.407138857,0.262124732,0.458202287,P09543,CNP,2,
Q96DI7,0.456438924,0.0327307,0.144601302,Q96DI7,SNRNP40,2,
Q9Y4W6,0.575204912,0.138301729,0.326133062,Q9Y4W6,AFG3L2,2,
Q05682,0.71988259,0.401500375,0.576951835,Q05682,CALD1,10,
O00571,-0.533924389,0.233883398,0.436198081,O00571,DDX3X,4,
O43852,2.231098165,9.3259E-05,0.005203514,O43852,CALU,12,
P46778,0.849910997,0.034423002,0.150579436,P46778,RPL21,4,
Q14203,0.02597375,0.9662796,0.980872529,Q14203,DCTN1,10,
O75643,0.558686491,0.0002614,0.010551074,O75643,SNRNP200,18,
Q9UNL2,-0.394455326,0.448784142,0.612166387,Q9UNL2,SSR3,1,
Q96JP5,-0.515727109,0.075247476,0.23201305,Q96JP5,ZFP91,3,
Q8NC60,0.138531354,0.466446334,0.62758234,Q8NC60,NOA1,1,
O15020,-0.502680756,0.000760039,0.01555928,O15020,SPTBN2,95,
O14561,1.162800907,0.005638957,0.053432687,O14561,NDUFAB1,1,
Q9BVP2,-0.081048899,0.530828629,0.684529782,Q9BVP2,GNL3,3,
O15145,-0.204900982,0.301100212,0.487649433,O15145,ARPC3,1,
P13987,0.026628317,0.92077575,0.956467392,P13987,CD59,1,
P55735,-0.383662944,0.36616649,0.555669775,P55735,SEC13,1,
P38159,-0.594576604,0.056165115,0.19943184,P38159,RBMX,16,
Q9HAV4,0.758194919,0.080369052,0.238112709,Q9HAV4,XPO5,1,
P16402,0.488501226,0.176217334,0.379345356,P16402,HIST1H1D,13,
Q9NQH7,-0.138073715,0.671681991,0.801062428,Q9NQH7,XPNPEP3,1,
Q13185,0.517116368,0.006027738,0.053432687,Q13185,CBX3,4,
P08574,0.951636315,0.115017531,0.298539328,P08574,CYC1,1,
P13807,0.099862813,0.949235027,0.972226879,P13807,GYS1,1,
Q8WTT2,0.892802151,0.136781738,0.324765197,Q8WTT2,NOC3L,1,
P53701,0.286972233,0.559905264,0.71027982,P53701,HCCS,1,
P25490,1.268193988,0.03139383,0.140089049,P25490,YY1,2,
Q16531,0.119782515,0.872160312,0.926409518,Q16531,DDB1,2,
Q14493,-1.179365909,0.081731828,0.240324052,Q14493,SLBP,1,
P12268,-0.602638086,0.036492631,0.152855924,P12268,IMPDH2,8,
Q15637,-0.267149033,0.321533855,0.508951985,Q15637,SF1,1,
Q5M775,-0.395389299,0.001613408,0.024701836,Q5M775,SPECC1,14,
P11177,-0.045575347,0.817540675,0.895161676,P11177,PDHB,1,
Q99459,-0.353912201,0.099733456,0.273343546,Q99459,CDC5L,1,
Q12965,-0.301980009,0.131852772,0.317042172,Q12965,MYO1E,5,
P68363,1.465755371,0.007322229,0.058054817,P68363,TUBA1B,39,
Q14839,0.258159138,0.108099815,0.285931448,Q14839,CHD4,13,
P83731,0.475805963,0.186658959,0.383747623,P83731,RPL24,8,
Q9UQ88,-0.76391077,0.050477036,0.186765032,Q9UQ88,CDK11A,1,
O14908,0.569286787,0.200861799,0.396367283,O14908,GIPC1,1,
P28288,-0.048286772,0.627401989,0.775951207,P28288,ABCD3,5,
Q5JTH9,-0.960926139,0.027899258,0.132399034,Q5JTH9,RRP12,1,
Q96K17,-0.080613098,0.614650445,0.763370063,Q96K17,BTF3L4,1,
P10809,0.104504281,0.725172545,0.83090738,P10809,HSPD1,17,
Q10570,-0.90149524,0.119383991,0.302031294,Q10570,CPSF1,1,
P26368,-0.119358745,0.432460553,0.599102918,P26368,U2AF2,9,
P35580,-0.331264826,0.001129765,0.019292914,P35580,MYH10,90,
P35232,0.208170901,0.32636077,0.512028911,P35232,PHB,12,
P84098,0.086410584,0.853669669,0.911128205,P84098,RPL19,3,
Q14011,-0.903807641,0.171007463,0.37617648,Q14011,CIRBP,1,
Q9NWH9,0.128706051,0.789613536,0.877567985,Q9NWH9,SLTM,1,
P62913,-0.034615498,0.650646739,0.794737695,P62913,RPL11,3,
Q13428,-0.269143562,0.218163639,0.421150676,Q13428,TCOF1,10,
P52747,0.754088778,0.000912751,0.017087862,P52747,ZNF143,1,
P27348,-0.333634665,0.135264352,0.322023443,P27348,YWHAQ,6,
O75618,-1.681815556,0.024480205,0.122815945,O75618,DEDD,1,
P05386,0.27868317,0.123930646,0.309130376,P05386,RPLP1,4,
P62304,-0.793021845,0.00068615,0.01555928,P62304,SNRPE,2,
P62241,-0.629035325,0.005892085,0.053432687,P62241,RPS8,5,
Q14152,0.388056055,0.372257947,0.55838692,Q14152,EIF3A,6,
P62899,-0.318463373,0.193270854,0.388382893,P62899,RPL31,6,
O95433,-0.443686815,0.402032587,0.576951835,O95433,AHSA1,1,
P83881,-0.35347743,0.010045974,0.067937382,P83881,RPL36A,2,
P32322,0.230667354,0.22443597,0.425526862,P32322,PYCR1,1,
Q03252,0.465813268,0.245100923,0.442250697,Q03252,LMNB2,16,
O60832,-0.077699171,0.775239105,0.867018042,O60832,DKC1,3,
Q9UNM6,-0.029138787,0.834947104,0.906717749,Q9UNM6,PSMD13,1,
P13674,0.715690967,0.087833483,0.256153324,P13674,P4HA1,4,
Q8WWI1,-0.063750746,0.446019007,0.610992731,Q8WWI1,LMO7,31,
P20700,0.736464272,0.001999354,0.028224344,P20700,LMNB1,30,
Q9P0L0,0.733530643,0.030005766,0.135837702,Q9P0L0,VAPA,1,
P62937,-0.949738144,0.024664292,0.122825403,P62937,PPIA,5,
O00151,0.504840084,0.013176085,0.081252525,O00151,PDLIM1,13,
P06753,0.108380097,0.841466835,0.910573904,P06753,TPM3,9,
Q15365,-0.385985356,0.153840723,0.353913372,Q15365,PCBP1,8,
O95373,-0.309654834,0.54959365,0.704176786,O95373,IPO7,2,
Q96AB3,0.562869189,0.23624354,0.437050548,Q96AB3,ISOC2,1,
A1L390,0.989439616,0.572987239,0.722745267,A1L390,PLEKHG3,5,
P41252,0.640021847,0.44266802,0.607556726,P41252,IARS,7,
P46821,1.321484871,0.023405415,0.121517284,P46821,MAP1B,1,
Q13885,1.059381584,0.002002403,0.028224344,Q13885,TUBB2A,32,
O95619,0.381035856,0.164860224,0.369686563,O95619,YEATS4,2,
P09651,-0.549567599,0.009449509,0.065690469,P09651,HNRNPA1,13,
P46776,-1.047702918,0.009088826,0.065087719,P46776,RPL27A,4,
Q08945,-0.005830198,0.795268007,0.880546122,Q08945,SSRP1,6,
Q9UQE7,0.996773025,0.025182051,0.123545092,Q9UQE7,SMC3,9,
P25705,-0.147715178,0.284732914,0.474376787,P25705,ATP5F1A,34,
P55884,0.364540435,0.192836038,0.388382893,P55884,EIF3B,4,
Q9P0K7,0.216882706,0.469324802,0.629547468,Q9P0K7,RAI14,4,
Q9H9B4,0.568243556,0.263369236,0.458942366,Q9H9B4,SFXN1,1,
P34897,-1.102311413,0.22380188,0.425526862,P34897,SHMT2,1,
Q9Y608,-0.592717007,0.043515364,0.170227505,Q9Y608,LRRFIP2,11,
Q9BPU6,-0.472916956,0.366691991,0.555669775,Q9BPU6,DPYSL5,1,
Q4VCS5,-0.288095761,0.008075851,0.06182203,Q4VCS5,AMOT,37,
P55084,-1.615265868,0.180701673,0.379345356,P55084,HADHB,1,
P12277,-0.641174235,0.030424568,0.136449577,P12277,CKB,4,
P68104,0.931285338,2.49018E-06,0.00055282,P68104,EEF1A1,16,
P49368,0.02038155,0.965295594,0.980872529,P49368,CCT3,10,
P28290,-0.419091828,0.006206086,0.053432687,P28290,ITPRID2,9,
P39019,0.005007504,0.876225625,0.928506391,P39019,RPS19,10,
Q9H4A3,0.895115858,0.029540744,0.135217427,Q9H4A3,WNK1,1,
Q14974,0.478608465,0.04348287,0.170227505,Q14974,KPNB1,16,
Q9UBX3,0.561006255,0.019219821,0.106670004,Q9UBX3,SLC25A10,6,
P54136,0.323197119,0.410977807,0.580203963,P54136,RARS,1,
Q6P4F7,-0.255021684,0.239466826,0.4386379,Q6P4F7,ARHGAP11A,2,
O00267,1.920184854,0.109408898,0.28659322,O00267,SUPT5H,2,
P46977,0.840160298,0.010328318,0.067937382,P46977,STT3A,3,
P05455,0.161024663,0.396270393,0.576951835,P05455,SSB,8,
P62136,-0.178195755,0.43108624,0.598443338,P62136,PPP1CA,20,
Q27J81,-1.055808005,0.022223759,0.118171845,Q27J81,INF2,1,
P16104,-0.048510649,0.787224719,0.876009462,P16104,H2AFX,7,
Q6WCQ1,-0.252210963,0.08876703,0.256759357,Q6WCQ1,MPRIP,25,
P84103,-0.54967279,0.017890041,0.101835618,P84103,SRSF3,4,
O94874,-0.213907409,0.252373042,0.447319884,O94874,UFL1,20,
P25786,-0.352534632,0.255025914,0.449775313,P25786,PSMA1,1,
P22626,-0.57355732,0.023265845,0.121517284,P22626,HNRNPA2B1,21,
Q9NZR1,0.056449685,0.938875965,0.969093862,Q9NZR1,TMOD2,7,
P61247,-0.456938366,0.000770955,0.01555928,P61247,RPS3A,15,
Q13283,-0.105086498,0.42285011,0.591324248,Q13283,G3BP1,2,
Q96SB3,-0.213975962,0.000622324,0.014935777,Q96SB3,PPP1R9B,37,
P0DP25,-0.04189196,0.672670875,0.801062428,P0DP25,CALM3,19,
Q14978,0.351662814,0.30753431,0.492054895,Q14978,NOLC1,4,
Q8WWC4,0.189592641,0.482478853,0.642091324,Q8WWC4,MAIP1,2,
Q8NI35,-1.064926202,0.005581683,0.053432687,Q8NI35,PATJ,5,
P09012,-0.700055168,0.079454679,0.238112709,P09012,SNRPA,4,
Q15149,0.469314017,4.94982E-05,0.003453402,Q15149,PLEC,9,
P31270,0.741088053,0.371880866,0.55838692,P31270,HOXA11,1,
P46779,0.413729165,0.568054854,0.718565115,P46779,RPL28,4,
Q9H9A5,0.294918734,0.147461742,0.344594807,Q9H9A5,CNOT10,1,
P57740,1.132706482,0.009281307,0.065690469,P57740,NUP107,3,
Q15393,0.215210905,0.093419621,0.26335436,Q15393,SF3B3,5,
O60299,0.679539498,0.363659687,0.553910467,O60299,LZTS3,2,
P16403,0.789270059,0.079937577,0.238112709,P16403,HIST1H1C,13,
Q5VZL5,1.424592701,0.006920481,0.056379698,Q5VZL5,ZMYM4,2,
P30050,-0.001160187,0.83939909,0.910117695,P30050,RPL12,9,
P31689,0.803600834,0.399329391,0.576951835,P31689,DNAJA1,4,
Q9BYG3,0.035728498,0.986128891,0.99171286,Q9BYG3,NIFK,1,
P10412,1.403053275,0.046997792,0.177591658,P10412,HIST1H1E,13,
P05023,0.245615524,0.403973019,0.576951835,P05023,ATP1A1,11,
Q9P258,0.198253368,0.554978388,0.705688304,Q9P258,RCC2,1,
Q96HE9,-0.397840352,0.370547202,0.55838692,Q96HE9,PRR11,1,
Q9NTI5,0.218169649,0.19331671,0.388382893,Q9NTI5,PDS5B,3,
P11142,1.31494783,0.00027802,0.010733994,P11142,HSPA8,38,
P63173,0.798052108,0.00581024,0.053432687,P63173,RPL38,4,
Q14694,0.519954816,0.024136887,0.122759517,Q14694,USP10,1,
Q9Y5Y2,0.507486374,0.178424251,0.379345356,Q9Y5Y2,NUBP2,1,
P18077,0.001531354,0.985277501,0.99171286,P18077,RPL35A,5,
P13797,-0.514574417,0.068373719,0.219190841,P13797,PLS3,9,
Q13151,-0.125925234,0.460691754,0.624571417,Q13151,HNRNPA0,7,
O95104,0.029343277,0.964546006,0.980872529,O95104,SCAF4,1,
P17844,-0.341472274,0.156662178,0.358647505,P17844,DDX5,16,
O75369,0.114480316,0.394987634,0.576889834,O75369,FLNB,31,
P05388,0.270783147,0.035456452,0.151371775,P05388,RPLP0,12,
O14950,-0.304502575,0.178858281,0.379345356,O14950,MYL12B,10,
P16615,1.082625115,0.000963033,0.017087862,P16615,ATP2A2,15,
Q01658,-0.305688805,0.441144392,0.606858949,Q01658,DR1,1,
P36542,0.682703478,0.001341468,0.021271856,P36542,ATP5F1C,6,
Q9NRP0,1.01249773,0.108342246,0.285931448,Q9NRP0,OSTC,1,
P46777,-0.516503538,0.00905461,0.065087719,P46777,RPL5,6,
P60709,-0.064953471,0.196992558,0.393361349,P60709,ACTB,200,
P61981,-0.259848825,0.464577387,0.626967658,P61981,YWHAG,6,
P06748,0.149962934,0.225113372,0.425526862,P06748,NPM1,18,
P08754,-1.05779433,0.00864796,0.063408886,P08754,GNAI3,5,
Q9ULV4,0.291767075,0.171143354,0.37617648,Q9ULV4,CORO1C,29,
Q9NNW5,0.207461589,0.331547119,0.516742202,Q9NNW5,WDR6,2,
Q6P5R6,-0.453784368,0.104220537,0.280447991,Q6P5R6,RPL22L1,1,
O00217,0.395051338,0.179813583,0.379345356,O00217,NDUFS8,2,
P43243,0.297954673,0.077657213,0.236974589,P43243,MATR3,14,
O14979,-0.064042684,0.566066049,0.717070829,O14979,HNRNPDL,8,
P46783,1.00166704,5.05566E-05,0.003453402,P46783,RPS10,5,
