Protein	10Y_1	10Y_2	4Y_1	4Y_2	1Y_1	1Y_2
A0A024RBG1	21090.6	8063.44	23244.7	17958.9	19386.2	25793.1
A0A075B759	4279010	4721990	5443020	4815540	3723870	3938600
A0A0B4J2A2	577471					
A0A0B4J2D5	90874.6	87676.6	102701	105520	108689	100435
A0A1B0GTU1	37587.6	37190	44158.1	45024	42314.1	42230.2
A0A1B0GUS4	207290	219867	220409	236906	239602	226486
A0AV96	3204.22	5426.33	3496.21	3287.8	2345.04	1948.79
A0AVF1	11884.7	10201.8	10658.7	7569.8	11039.3	11485.5
A0AVI4	437.247	1469.52	915.374	1445.76	1791.71	802.575
A0AVK6	95.6991	185.523	276.592		265.916	304.021
A0AVT1	75706.1	73972.5	77948	78033.8	78310.8	81110.6
A0FGR8	182376	179374	204553	161408	189194	170412
A0JLT2	8640.6	8910.7	8582.02	9873.67	12452.7	9631.23
A0JNW5	2567.69	2040.69	2584.92	2974.43	2484.57	2664.51
A0MZ66	35589.6	33853.9	39479.9	40348	36087.8	34507
A0PK00						790.534
A1A4S6	6660.68	2881.52	5966.54	4326.1	5727.22	5512.12
A1L020	1437.77	565.204	2043.23	1595.6	1407.76	1647.33
A1L0T0	24348.1	23906.9	25396.5	27392	29829.8	31720.5
A1L170	886.793	170.518	1205.32	714.785	894.03	467.048
A1L390	2721.3	1850.13	3636.53	3048.33	2196.41	2979.02
A1X283	25732.6	22232.4	27764.9	28033.5	23295	24175
A2A3N6	72107.6	70424.9	80094.7	78450.2	81400	68912.6
A2AJT9	11469.7	7020.77	6289.79	8119.45	9237.24	7277.64
A2RRP1	8273.58	6691.94	9519.89	8736.58	8720.38	8481.94
A2RTX5	7154.24	7268.6	6840.72	6586.23	7635.96	7926.63
A2RU49			772.927	2251.54	1494.59	1949.33
A2RU67	5641.74	4420.04	3567.19	2968.51	5399.5	4649.69
A2RUC4	9268.72	7792.65	8805.11	10175.2	9688.73	9240.39
A2RUS2	2285.27	7687.84	11794	12139.9	19506.2	30993
A2VDF0			268.031	1155.7	715.344	816.036
A3KMH1	13622.8	14163	14416.5	16653.2	15761.5	16687.1
A3KN83	16014.4	15169.7	15568.8	18216.4	16508	18159.7
A4D161	3564.38	3287.6	3438.34	3198.15	3531.92	3314.69
A4D1E9	19099.4	18964.3	21015.5	18375.1	22900.1	20527.3
A4D1P6	25464.2	20971.5	24205.8	21964.8	25544.8	22618.1
A4D1S0	2304.58	2399.47	3970.72	4350.66	2733.35	3979.9
A4D1U4	2256.29	3771.03	3502.89	4503.95	3692.56	3959.05
A5A3E0	5334040	4374240	6397180	6584490	5275170	4881260
A5D8V6	2078.97	1671.72	1113	1910.92	2224.81	1829.11
A5PLN9	8930.42	9547.9	15880.9	11934.2	11259.5	13424.3
A5YKK6	55601.9	51393	59202.9	57949.7	56763.5	57196.9
A5Z2X5	2620.19	2542.75	3018.44	1566.85		
A6H8Y1	15109.5	7680.62	14143.9	18456.8	13283.2	11978.8
A6NCE7	10990.8	8258.17	5675.65	10895.4	10089.2	9606.99
A6NCN2	5504.44	5930.11	7286.14	6004.15	4133.35	4432.54
A6NDB9	141.799	97.5906	92.6813	429.268	130.925	97.4551
A6NDG6	159019	176497	180496	169069	147657	163128
A6NDU8	12652.3	9575	12623.9	11163.9	13822.6	12796.2
A6NEC2	165322	162125	182328	166581	171917	169637
A6NED2	9569.11	9734.62	13721.1	10434.5	11337.1	13080.5
A6NFE2	5862.29	5186.16	8683.89	8889.11	12838.9	10287.1
A6NFI3	5009.14	3284.66	2373.58	3482.9	2650.35	3693.92
A6NFN3	23268.8	17000.8	26490.9	26041.7	21528.5	16544.3
A6NGB9	642.145	188.823	847.229	465.716	95.1083	530.345
A6NHG4	578464	503372	683835	679623	491085	489829
A6NHL2	182124	174606	162454	178149	187510	217873
A6NHQ2	76867.1	63011.9	49768.2	64271.6	58855.1	52571.1
A6NHR9	19102.1	16492.9	19134.4	20105.3	19267.8	17954.5
A6NHX0	8723.28	8479.64	8252.15	6691.01	7785.03	7889.61
A6NIE6	2612.5	2375.45	1774.38	1524.4	1995.58	2864.68
A6NIH7	36363.1	30638	38884.2	38511.8	37590.2	37660.5
A6NJ78	4826.08	3362.96	4253	5569.41	4290.23	4970.07
A6NK58	2805.84	10467	8163.22	5687.36	5885.45	4917.12
A6NKD9	9858.88	6753.63	11039.2	11370.7	12841.4	12247.5
A6NKF1	275.272	491.343				311.288
A6NKT7	7932.5	12441.1	17205.8	14821.1	16543.3	12554.8
A6NMX2	1278.95				670.571	525.286
A6NMY6	81917.4	74323.4	88807.5	91678.4	94278.1	87509.6
A6NMZ7	12182.9	12706.6	10263.7	10682.4	10060.7	10392.1
A6NP11	27366.3	34070	47139.3	20768.3	13977.1	40584.8
A6QL63	5528.69	4713.21	4891.07	4667.46	1728.83	4757
A6QL64	825.097	609.905	554.091		3632.25	4398.99
A7E2V4	29476.8	27104.3	29212.4	25412	26019.8	25562.4
A7E2Y1	1243.15		784.153	1557.71	1584.88	1463.25
A7KAX9			204.421		300.303	677.783
A8CG34	6474.36	7019.81	6790.46	9306.24	9272.29	5561.09
A8K0S8	9788.72	7725.23	11105	9745.93	11462	12645.8
A8K0Z3	1645.57	1329.07	2225.2	1840.56	2377.34	2305.41
A8K8P3	22165.5	21671.5	18600.1	20174.6	15869.1	13609.6
A8MPP1	5201.24	2370.33	2963.08	3538.21	2303.8	5100.71
A8MPS7	4272.61	4617.1	3315.88	5402.01	4732.51	4722.73
A8MT19	4019.72	1162.64	6995.11	5565.5	5192.94	3224.76
A8MTJ3	25080.4	23497	16586.9	15371.9	10667.1	13314.1
A8MVJ9	64809.1	57394.8	60649.8	63532.2	52613.7	50724.3
A8MVW0	237377	238712	247764	253209	195256	214265
A8MWD9	811273	683919	830892	839630	768727	751418
A8MXV4	29522.7	31524.8	33981.9	35766.3	40556.4	42118.6
A9QM74				86892.2		78546.1
A9UHW6	6803.38	5456.04	5528.9	5180.89	7157.32	7734.42
B2RBV5			1664.71			1287.64
B2RTY4	55485.4	37506.1	68689	65735.9	73853.7	67069.9
B5ME19	51714.3	44559.9	57868.1	54430.1	65645.2	60243.5
B7ZAP0	7493.67	4469.05	8932.86	7101.43	6364.04	7703.97
B7ZAQ6	3134.88	5702.33	8529.36	9445.13	7681.18	8033.7
C4AMC7	22787.1	22267.3	22229.8	21854.6	20162.5	17927.9
C9J7I0	1805.22	1429.74	2700.79	2508.03	2699	3297.92
C9JLW8	33780.5	27990.7	38104.7	41951	36646.7	34817.4
C9JRZ8	542772	483121	570033	516754	122727	105770
E9PAV3	542828	587097	554983	561076	539956	564634
E9PRG8	75589.2	72248.7	89221.7	90938.3	81585.1	76886.4
G9CGD6	101345	72297.8	59291.5	73981	62955.1	52353.8
L0R6Q1	24642.2	33232.5	24933.1	33769.5	14715.1	14351.3
L0R819	24382.1	21674.9	22721.5	26618.9	23243.6	19812.3
L0R8F8	18056.3	19076.4	17211.1	16403.8	8724.19	11082.5
O00115	39184.1	30097.6	46829.1	59200.4	45267.9	47432.8
O00116	26715.5	24401.8	28885.8	28867.5	32254.9	29882.6
O00139	77089	76631	87493.7	88531.8	74897.1	75539.6
O00148	88681.1	91382	107352	106198	115181	108052
O00151	613336	575292	791818	812657	759409	755102
O00154	209995	218473	232502	217131	227746	236146
O00159	40763.2	36160.9	41485.6	42201.5	43516.3	42499.3
O00160	9785.8	7061.93	7382.04	7726.74	9358.05	9156.21
O00161	15798.6	8828.18	16359.7	19400.7	14881.8	15400.2
O00165	87468.3	87892.1	103000	99844.8	88212.5	89304.6
O00170	136671	116729	156419	162464	165826	179293
O00178	65976.4	64056.9	74562.2	73846.6	74791.5	72705.3
O00186	23603.7	19634.6	22209.6	21934.5	23679.5	22644.2
O00189	5292.25	5184.46	7442.21	7931.93	6167.49	8297.74
O00193	66289.6	51054.5	67449	76634.8	68776.3	71785
O00203	75880.3	72305.9	73706.7	77846.2	88749.9	85977.2
O00204	3679.27		5330.98			
O00213	5712.35	3647.6	6203.1	5391.38	5290.78	5031.55
O00217	29578.7	25751.2	33129.7	28979.5	31165.7	29328.4
O00221	19177.8	11488.7	16050.9	16739.8	22140.6	21864.1
O00230	238.918	546.054	1586.47	599.804	1054.87	447.387
O00231	257799	264712	274708	278198	288792	285303
O00232	168578	169123	186234	186408	191306	187454
O00233	110486	113625	131485	127948	101775	105654
O00244	25590.7	31110.9	62412.2	65199.9	26897.7	29569.3
O00255	7615.57	3611.26	4169.3	4336.87	5066.51	5087.64
O00257	5151.04	4467.63	6182.79	6176.17	4784.97	4893.17
O00258	1212.5	1761.08	1099.27	2264.05	1190	1800.23
O00264	153929	115398	170444	172404	153034	132984
O00267	66603	56287.8	60535.9	61619.8	62028.8	60129.3
O00268	5928.07	6606.75	6363.43	7508.04	6617.99	6789.98
O00273	116496	109112	146825	140418	116860	110056
O00287	4866.5	4016.44	3328.6	8653.31	7551.1	3284.26
O00291	8923.39	6637.31	10010.6	9013	8743.28	9212.65
O00299	541471	555904	611939	607293	529025	525781
O00303	292445	297444	282786	300589	269668	268026
O00308	20970.9	22005.1	19750.2	19967.4	17290.3	15222.4
O00311	13346.6	12524.5	15164.7	12909.7	13243.6	11189.8
O00330	34732.1	33773.6	39542.3	40289.5	35812.8	34240.6
O00399	54038.6	31442	44997.5	49161.9	57300	45913.2
O00400	14039.6	11215.9	8898.05	11962.8	9868.68	9431.23
O00401	10078.5	10617.9	13639.5	14265.9	11489.3	10199.5
O00410	718999	694202	724149	740886	743116	729104
O00411	22645.9	22240.7	26933.7	26036.5	28077.5	25435.6
O00418	6472.39	6815.24	4650.97	6099.34	4996.07	4888.25
O00422	45740.8	50887.1	54620.3	53044.4	44157.3	49608
O00423	16674.1	13189.6	16299.1	12495	14681	14389.2
O00425	62226.1	65251.2	69820.6	68165.7	63357.6	60501.7
O00429	85857.4	79344.9	97221.5	88939.5	97728.1	100100
O00442	77293	75421.8	80966.1	83584.3	83195.6	81000.9
O00443	170738	181382	168667	182184	174715	173369
O00458	9104.01	8026.16	11385.1	9237.1	10260.5	11177.7
O00459	6940.01	5286.23	7234.09	7773.55	8750.12	8171.83
O00461	6391.69	7672.5	6540.66	6784.73	5642.12	7917.42
O00462	7630.71	11132.5	8569.15	7060.49	8300.28	6248.63
O00468	3081.89	3523.3	7500.48	7248.85	4478.52	4356.54
O00469	24884.8	24897.4	26693.1	27843.9	25394.1	26464
O00470	8201.23	10336.4	16743.7	12081.1	9116.84	13495.3
O00471	24076.3	22447.3	25539	25989.1	23882.9	24684.7
O00483	42120.8	39475.7	48276.9	42404.7	39911.3	37995.2
O00487	345270	333508	392730	401413	385755	396805
O00488	8449.25	10654.2	15401.7	12131.8	9116.04	10677.8
O00499	15906.5	15921.1	19125.5	20116.3	15229.8	16691.1
O00505	105948	116338	125678	123087	124902	123894
O00506	72939.6	74100	68123.9	88945.2	75845.5	82391.1
O00507	75885.5	80849.2	82813.5	78973.7	70738.9	70407.9
O00512	10888.2	12383.5	14861.5	12451	11343.2	11973.8
O00522	5097.33	3668.67	2883.62	5155.88	5601.33	3292.18
O00541	41788.8	34777.9	45528.6	39568.8	34870.7	33472
O00559	1071.56	1107.31	1576.92	1825.45	1456.66	1491.54
O00560	62872.9	66954	68436.9	65765	68599.6	73995.8
O00562	472.553	175.294				218.561
O00566	5879.7	5827.47	7235.07	7360.61	5011.81	5776.34
O00567	14670.8	14306.1	14557.3	15272.2	14003	14218.3
O00571	267064	292215	312081	306296	296017	305859
O00584	18596.9	17989.7	19725	20160.5	18396.3	17746.6
O00592	23233.6	20817.2	38532	30557.7	25527.8	22274.5
O00625	36390	33326.6	35498.3	37866.7	38105	38722.1
O00629	39829.9	34082.5	43983.4	46199.8	47753.1	44140
O00712	2581730	2086880	3403950	2121720	1875280	1764680
O00716	5483.73	4792.72	3877.01	3806.68	2826.18	3238.79
O00743	59363.4	47776	55564.7	56286.4	46677.9	48754.9
O00746	21908.6	21569.6	20944.7	22615.1	21014.1	15833.3
O00750	23105	15903.1	21490	25553.2	17728.3	13348.2
O00754	29325.6	27244.7	28373.1	28345.3	27493	27561.4
O00762	18298.5	14444.4	18779.5	19453.6	13764.7	12344.5
O00763	6287.01	7476.86	5360.29	7622.09	6616.13	6494.11
O00764	64073	51304.6	66482.2	63921.7	67460.2	68587.2
O00767	10836.2	11994.5	15615.9	18050	12102.5	14920.3
O13297	28025.3	20264.6	8575.27	9127.71		3157.95
O13516	37888.6	37948	19952.4	19165	3460.31	4313.45
O13539	6122.91	6058.11		1243.54		
O13563	101360	102681	50596.4	49553.3	14685	10629.8
O13585	15158.4	9051.05	5540.46	3436.95	2197.96	1792.59
O14455	565089	558908	238100	232766	31860	32139.7
O14467	604506	563766	280503	274479	57607.7	60016.6
O14490	13510	2249.06	8278.83	1250.98	1792.54	1394.64
O14494	1813.82		570.569	935.86	847.725	1471.78
O14497	13728.2	12775.5	13355.8	15513.1	14634.5	15006.3
O14519	6876.41	4327.46	6646.63	5951.48	4503.16	7025.57
O14523	2851.13	3431.01	2762.21	2089.78	2629.89	2756.02
O14524	8670.16	4255.34	6738.52	4190.44		2801.47
O14526		17946.2	28467.4			
O14529	12986	10843	16797.1	10365.3	20862.7	16999.5
O14530	10304.7	8257.79	11560.1	11166.9	10623.8	9999.46
O14531	22467.2	23121.1	27467.8	29969.3	28926.3	27483.9
O14545	12772.4	9951.35	14613.8	14524.7	13752.8	16859.4
O14558	16685.6	21439.9	15158.4		20718.3	
O14561	394173	374132	398686	413200	411747	388670
O14562	135953	132979	140252	160012	139379	128748
O14578	27679.9	36117.8	37525.5	42794.7	32479	31352.6
O14579	77508.1	80830.4	80823.8	77996.3	86110	88911.6
O14593	2715.61	2716	2150.93	2098.77	2738.34	3054.17
O14602	327321	278830	313650	290867	373182	315951
O14607	5798.29	9429.57	9249.32	6780.17	6347.08	6615.2
O14613			1953.32		4020.01	4819.09
O14617	65502.6	63849.2	68875.2	71243.1	71837.2	74199.1
O14618	53214.1	43413.5	53211.1	63403.6	54881.3	54656.8
O14628	4006.51	9849.4	3891.12	3931.01	6699.95	5840.48
O14639	8500.62	6461.7	7029.37	6556.73	7410.67	7017.86
O14640	16981.9	22178	23458.4	16693.9	16780.9	15737.9
O14641	20082.9	18734.7	23165.1	26366	19694.7	22720.9
O14646	25058.8	23930.2	25027.8	28103.2	27184.1	27386.7
O14647	24304.7	9122.3	29248.9	21708.9	38510.6	41152.2
O14653	12666.4	11630.4	12544.6	15485.1	16643.6	18422.8
O14654	95864.3	98238.3	111892	110380	105178	103808
O14656	12705	14883.9	12000.7	15086.9	18477.4	17707.6
O14657	8196.33	10618.5	7729.75	11551.1	10434	9079.91
O14662	4841.72	4094.51	6009.03	4885.82	5119.71	5764.14
O14672	11856.3	9247.88	8816.71	9457.31	13769.7	11830.9
O14678	27312	26475.9	28984.7	29833.5	31849.7	30230
O14681	27252.9	26991.7	32131.5	31306.2	32670.6	31871.5
O14683	58451.4	51618.6	58670.6	28414.2	39826.9	19319.2
O14686	14555.6	10751.5	14408.9	15959.3	13598.3	14475.1
O14715	15827.7	12936.5	19527.5	10537.6	11402.2	11148.4
O14717			1153.11	92.4129	933.459	1031.97
O14727	10849.5	10023.9	10445.1	10531	10638.4	10518.2
O14730	20546.7	19105	21091.9	22688.7	23790.9	23128.3
O14732	5392.75	3718.84	5987.91	5461.02	4841.78	5230.43
O14733	45446.5	43494.3	44785.8	47224.1	44485.9	47048.2
O14734	119359	119547	135828	148044	183142	183725
