Protein	10Y_1	10Y_2	4Y_1	4Y_2	1Y_1	1Y_2
O75694	53116.4	52209.4	54610.4	55441.6	54378.7	58836.6
O75695	8777.11	5433.85	5892.12	9464.45	9909.57	3150.7
O75717	41686.2	35716.9	44004.9	41643.7	41314.7	42021.9
O75718	49601.4	43670.3	47236.8	48887.2	51890.2	47356.9
O75746	27734.8	19538.1	31790.3	35511.3	36899.7	39520
O75764	2722.34	2545.46	2765.62	2179.31	645.211	3818.5
O75771	2193.64	1515.43	1492.64	2947.06	2270.2	2067.71
O75781	2207.78	3961	4392.65	3803.33	3341.86	2511.21
O75787	10017.2	9850.88	8939.16	9238.86	9588.94	8291.52
O75792	31660.2	39691.5	36284	37109.7	30230.7	31930
O75794	42141.7	38904.3	44770	42228.3	49531.4	45220.2
O75808	765.331	4076.54	1356.58	2350.65	2270.19	3891.11
O75817	28295.5	21065.3	26014.2	27762.8	27422.1	26165.5
O75818	23595.6	29273.9	33782	32202.4	35722.6	36810
O75821	297981	255443	315388	331843	297874	288144
O75822	231873	214133	257147	253020	226724	219713
O75828	45516.4	51563.8	50409.7	58217.1	30054.3	39788.8
O75832	79255.1	63989.2	84272	79452.5	80108.8	83975.4
O75843	17450.5	15161.1	12128.8	16375.8	16724.1	15848
O75844	35673.2	38067.6	45130.1	48097.3	52247.5	50109.1
O75864	2303.65	1990.5	1834.17	2700.69	1969.61	2470.04
O75874	117278	111060	121262	116210	117947	116486
O75879	29223.5	30906.2	34420.8	33040.5	31153.8	30982.5
O75880	31123.9	31940.1	30125.8	31298.1	30772.5	26549.2
O75882	2009.76	1569.4	1864.79	1130.67	1425.95	2331.6
O75884	34330.4	37362.3	34617.5	34958.8	41840.4	35664.2
O75886	12209.9	11518.8	13231.4	13764.8	14520	13593.8
O75891	15314.6	16675.8	21847.2	21177.7	25929.8	21741.1
O75896			2267.5		556.898	1866.24
O75907	689.479	87.0307	634.732	948.89	982.454	1359.97
O75909	52451.6	61143.9	64600.5	73089.5	65364.4	66266.5
O75911	7886.19	6907.6	7315.81	7075.61	6000.61	5155.8
O75914	74148.7	85941.1	88565.6	98800.6	90900.7	94305
O75915	137391	140095	140329	121247	147660	141488
O75923	29687.1		32274.9	41918.2	7996.32	5050.63
O75925	9557.98	7970.66	8220.75	11650	8851.12	9321.37
O75928	4477.24	6594.25	4966.11	3617.27	3505.9	3459.71
O75934	43889.2	36831.2	55722.2	52790.7	50377.1	48778.2
O75935	76199	61268.4	104333	97732.9	79190.9	71253.9
O75937	299636	249764	365825	347936	314073	281780
O75940	34696.8	31748.1	39171.3	42193.7	34518	34329.5
O75943	6039.69	7334.36	5560.16	5492.7	6337.86	8322.32
O75947	15985.8	17659	18049	19449.6	12812.8	15277.1
O75955	9701.44	9389.07	9938.76	12722.2	11545.8	11553.5
O75962	13052.9	8739.93	15725	13604	15633.8	13371.1
O75964	20598.4	17117.9	23244.6	27640.1	22044.1	21839.8
O75970	7086.48	7584.06	8338.84	7970.85	7820.57	8416.63
O75976	39440.1	39290.6	39446.3	42079.9	41830.2	41055.5
O75995	19643.2	15738.2	42435.8	45668.5	28811	26426.5
O76003	418876	395375	438470	419918	435816	439018
O76014		1327.89	2883	2517.22	2501.99	2231.42
O76021	44176.7	46051.6	51439	38267.7	44231.9	44226.9
O76024	11691.9	13202.7	14155.5	11882.5	13031.2	13428.4
O76031	119926	109431	124104	138801	134545	126756
O76039	61710.8	50115.6	89081.3	87001	92205.4	94164.2
O76041	709.995	630.92	1374.71	752.176	1006.61	734.131
O76054	6619.22	3421.36	7257.1	4708.2	3730.6	3867.8
O76061					3310.07	5591
O76064		2142.88		778.438	2018.25	1975.46
O76070	8821.57	3258.41	7532.32	6157.11	4421.35	4628.56
O76071	22830.5	26601.3	29017.7	28071.3	28651.5	29324.9
O76074	2761.13	2647.84	3303.54	3018.66	3713.75	2689.57
O76075	27877.1	23623	30321.4	22110.9	34222.1	29657.4
O76080	1752.48	1399.68	1938.21	1955.19	983.498	1473.54
O76094	94821.9	86122.4	110520	104309	105031	104705
O76095	6240.84	5223.51	15046.8	9200.26	14426.7	12383.9
O77932	7177.42	7017.57	11917.9	6311.75	9377.62	9080.76
O94760	49411.8	49499.6	54251.5	59304.6	51673	56234.1
O94761	38939	43081.9	58764.7	51236.1	45652.5	48594.7
O94762	6064.38	6444.91	7008.71	7307.96	6767.85	5956.82
O94763	18774.3	18999	24891.3	24012.3	23103	20601.2
O94766	6810.27	6946.21	3908.61	6517.41	6815.62	6260.08
O94768	2538.88	1512.21	1537.3	2211.66	1816.28	1632.64
O94776	155755	147111	159990	163930	156223	162502
O94778	2986.26	2786.72	3984.3	3299.81	2770.63	2409.56
