Protein	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722142047.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722202358.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722153152.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722213505.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722164251.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722224609.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722175352.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722235712.raw
A0A075B6S2;A0A0A0MRZ7;A2NJV5	A0A075B6S2;A2NJV5;A0A0A0MRZ7	KV229_HUMAN;KVD26_HUMAN;KVD29_HUMAN	IGKV2-29;IGKV2D-26;IGKV2D-29	Immunoglobulin kappa variable 2D-29	2.90E+09	2.60E+09	2.52E+09	2.68E+09	2.82E+09	2.86E+09	1.40E+09	1.40E+09	1.55E+09	1.99E+09	1.91E+09	1.79E+09
A0A0C4DH31;P23083	P23083;A0A0C4DH31	HV102_HUMAN;HV118_HUMAN	IGHV1-18;IGHV1-2	Immunoglobulin heavy variable 1-18	449150	580393	412736	778222	650374	862940	215263	168652	159392	424059	373572	424897
A0FGR8-2	A0FGR8;A0FGR8-2;A0FGR8-4;A0FGR8-6	ESYT2_HUMAN	ESYT2	Isoform 2 of Extended synaptotagmin-2	1.17E+06	1.29E+06	1.23E+06	2.14E+06	1.98E+06	2.09E+06	1.62E+06	1.70E+06	1.71E+06	2.00E+06	2.06E+06	2.12E+06
A1L0T0	A1L0T0	ILVBL_HUMAN	ILVBL	Acetolactate synthase-like protein	1.09E+06	996161	1.11E+06	1.31E+06	1.12E+06	1.32E+06	1.98E+06	2.07E+06	1.77E+06	1.25E+06	1.30E+06	1.45E+06
A1L390	A1L390;A1L390-3	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	4.16E+06	4.04E+06	4.34E+06				2.78E+06	2.58E+06	2.64E+06	455462		
A3KMH1;A3KMH1-2;A3KMH1-3	A3KMH1;A3KMH1-2;A3KMH1-3	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	269880		409222	440298	401131	391200	148498	501907	228581	410644	333703	411825
A5YKK6;A5YKK6-2	A5YKK6;A5YKK6-2	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	781413	833139	742079	1.38E+06	1.27E+06	1.16E+06	836918	799941	815231	1.56E+06	1.52E+06	1.53E+06
A6NDG6	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase				1.06E+06	883094	883600	102522	257744	241364	906553	886404	887211
A6NHG4;P30046;P30046-2	A6NHG4;P30046;P30046-2	DDTL_HUMAN;DOPD_HUMAN	DDT;DDTL	D-dopachrome decarboxylase-like protein	372187			1.90E+06	1.93E+06	1.59E+06	218858	234545		1.44E+06	1.35E+06	1.42E+06
A6NHL2;A6NHL2-2	A6NHL2;A6NHL2-2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	365564	337135	375952	754585	762735	955978	866238	944739	425061	681160	1.74E+06	1.53E+06
A6NHQ2	A6NHQ2	FBLL1_HUMAN	FBLL1	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1	8.83E+06	8.37E+06	9.37E+06	9.07E+06	8.40E+06	9.92E+06	6.44E+06	6.40E+06	7.62E+06	8.25E+06	7.10E+06	1.12E+07
A6NHR9	A6NHR9;A6NHR9-2	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	74614.9			363720	478671	431217		486888	528488	328413	379881	155739
A6NKD2;P0CV98;P0CV99;P0CW00;P0CW01;Q01534	P0CV98;Q01534;A6NKD2;P0CW00;P0CV99;P0CW01	TSPY1_HUMAN;TSPY2_HUMAN;TSPY3_HUMAN;TSPY4_HUMAN;TSPY8_HUMAN;TSPYA_HUMAN	TSPY1;TSPY10;TSPY2;TSPY3;TSPY4;TSPY8	Testis-specific Y-encoded protein 2	1.10E+06	1.12E+06		889802	999624	902117	1.00E+06	1.49E+06	1.26E+06	980294	1.06E+06	1.05E+06
A6NKT7;Q7Z3J3	A6NKT7;Q7Z3J3	RGPD3_HUMAN;RGPD4_HUMAN	RGPD3;RGPD4	RanBP2-like and GRIP domain-containing protein 3	617075	648722	455533	432809	468925		974959	957037	1.06E+06	655554	774521	639240
A6ZKI3;Q9BWD3	A6ZKI3;Q9BWD3;Q17RB0	RTL8A_HUMAN;RTL8C_HUMAN	RTL8A;RTL8C	Retrotransposon Gag-like protein 8B	268735	260628	201644	340574	336303	267203	709826	638522	493905	485821	361225	379762
A8MV81;Q9Y241;Q9Y241-2	A8MV81;Q9Y241;Q9Y241-2	HIG1A_HUMAN;HIG1C_HUMAN	HIGD1A;HIGD1C	HIG1 domain family member 1C	547475	653799	618510	411819	431490	318022	957636	873923	852198	352153	360802	534953
A8MWD9;P62308	A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	407288	619934	336882	882101	1.07E+06	397583	363006	538340	530308	1.03E+06	917596	292315
A9QM74	A9QM74	IMA8_HUMAN	KPNA7	Importin subunit alpha-8	1.50E+06	1.64E+06	2.01E+06	2.34E+06	2.84E+06	2.02E+06	1.84E+07	1.73E+07	1.92E+07	1.88E+07	2.28E+07	1.78E+07
B1ANS9;B1ANS9-2	B1ANS9;B1ANS9-2	WDR64_HUMAN	WDR64	WD repeat-containing protein 64	1.47E+06	1.88E+06	1.85E+06	7.39E+06	7.80E+06	8.23E+06	1.84E+06	1.91E+06	1.94E+06	8.86E+06	8.10E+06	8.91E+06
B2RPK0;P09429;P26583	B2RPK0;P26583;P09429	HGB1A_HUMAN;HMGB1_HUMAN;HMGB2_HUMAN	HMGB1;HMGB1P1;HMGB2	Putative high mobility group protein B1-like 1	290033	409420	446437	1.37E+06	1.14E+06	1.21E+06	229426	347944	349780	1.72E+06	1.35E+06	1.02E+06
B5ME19;Q99613;Q99613-2	Q99613;Q99613-2;B5ME19	EIF3C_HUMAN;EIFCL_HUMAN	EIF3C;EIF3CL	Eukaryotic translation initiation factor 3 subunit C-like protein	976885	963848	879819	1.75E+06	1.91E+06	1.90E+06	591627	588352	633462	2.01E+06	2.05E+06	2.09E+06
E9PAV3;E9PAV3-2;Q13765	Q13765;E9PAV3;E9PAV3-2	NACAM_HUMAN;NACA_HUMAN	NACA	"Nascent polypeptide-associated complex subunit alpha, muscle-specific form"	3.24E+06	3.48E+06	3.29E+06	2.47E+06	2.23E+06	2.28E+06	1.13E+06	1.28E+06	1.20E+06	2.01E+06	2.01E+06	2.08E+06
E9PRG8	E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98		387851	395922	2.07E+06	2.56E+06	2.44E+06	247512	331763	181969	1.43E+06	1.40E+06	1.75E+06
O00116	O00116	ADAS_HUMAN	AGPS	"Alkyldihydroxyacetonephosphate synthase, peroxisomal"	364679	423011	451671	638223	731907	616340	506470	409273	427843	658818	461308	644474
O00139;O00139-1;O00139-2;O00139-4;O00139-5	O00139;O00139-1;O00139-2;O00139-4;O00139-5	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	355273	341888	444609	403073	353022	405481	412936	534012		464241	494051	517530
O00148	O00148;O00148-2;O00148-3	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	1.36E+06	1.73E+06	1.78E+06	5.49E+06	5.56E+06	5.15E+06	1.93E+06	1.92E+06	1.93E+06	4.54E+06	4.59E+06	4.53E+06
O00151	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	9.79E+06	1.06E+07	1.02E+07	796953	672377	810698	4.28E+06	4.57E+06	4.49E+06	888360	777331	669062
O00154;O00154-4;O00154-5;O00154-6;O00154-7	O00154;O00154-2;O00154-3;O00154-4;O00154-5;O00154-6;O00154-7	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	355593	193799	388022	940390	1.06E+06	952322	188641		158165	453036	955565	834410
