Protein,log2FC,pval,adjpval,Proteinnoiso,Gene Symbol,# PSMs,PSM Cutoff
O95478,0.613537152,0.244748449,0.475202472,O95478,NSA2,1,5
P82650,0.355083789,0.13869609,0.351552914,P82650,MRPS22,1,
Q86UP3,-0.571427529,0.148405907,0.364463515,Q86UP3,ZFHX4,3,
Q5T8D3,0.886291822,0.000349365,0.007214908,Q5T8D3,ACBD5,4,
Q15061,-0.342263018,0.792474821,0.879595424,Q15061,WDR43,2,
O75934,0.077231841,0.9000004,0.94872432,O75934,BCAS2,9,
A0A075B6S5,0.491883688,0.552953579,0.723422002,A0A075B6S5,IGKV1-27,1,
P35908,1.047728848,0.042993614,0.181164041,P35908,KRT2,10,
P07305,-0.502478287,0.245393987,0.4757781,P07305,H1F0,6,
P68431,0.231066282,0.248047931,0.47820273,P68431,HIST1H3A,25,
Q9BQ39,0.036989565,0.515935837,0.696781632,Q9BQ39,DDX50,4,
O43264,1.295074835,0.050470071,0.202008143,O43264,ZW10,1,
P60891,0.60845178,0.006993494,0.059106651,P60891,PRPS1,2,
P47755,-0.266453845,0.278659322,0.507932433,P47755,CAPZA2,2,
Q12788,-0.049772528,0.809173472,0.891027015,Q12788,TBL3,4,
Q5SY16,-0.945249607,0.441508821,0.646376502,Q5SY16,NOL9,1,
P13639,0.457360461,0.000411139,0.008240917,P13639,EEF2,17,
Q01105,0.348655869,0.217964448,0.446074389,Q01105,SET,2,
Q5UIP0,-0.627149664,3.72062E-07,2.5356E-05,Q5UIP0,RIF1,57,
Q9UL25,0.837824617,0.134954244,0.344461862,Q9UL25,RAB21,1,
Q13601,-0.228031292,0.086266383,0.264447354,Q13601,KRR1,1,
Q92968,0.519583951,0.827142498,0.900861526,Q92968,PEX13,1,
O75947,0.458168489,0.259512265,0.488546088,O75947,ATP5PD,1,
Q969T4,0.58219278,0.251758269,0.480080163,Q969T4,UBE2E3,1,
Q01081,0.176856488,0.871603752,0.932134165,Q01081,U2AF1,6,
Q9Y676,0.018115068,0.845236908,0.912159862,Q9Y676,MRPS18B,2,
P61981,0.292874395,0.481575844,0.673909523,P61981,YWHAG,6,
Q93009,0.708526327,0.070545588,0.23169551,Q93009,USP7,3,
P62899,0.144893003,0.024131854,0.125601207,P62899,RPL31,10,
Q9NS91,0.479473682,0.210155474,0.437984573,Q9NS91,RAD18,1,
Q6PL18,-0.363869245,0.001451483,0.020824963,Q6PL18,ATAD2,4,
Q6P161,0.113578419,0.280157251,0.509334306,Q6P161,MRPL54,1,
Q8TBA6,0.973104718,9.80394E-14,4.45425E-11,Q8TBA6,GOLGA5,84,
Q13151,-0.06002723,0.674966181,0.809840586,Q13151,HNRNPA0,13,
