proteinA,proteinB,GeneSymbolA,GeneSymbolB,numPSMsA,groupB
Q12965,P29590,MYO1E,PML,5,Bait
P28288,P29590,ABCD3,PML,5,Bait
P62241,P29590,RPS8,PML,5,Bait
P62937,P29590,PPIA,PML,5,Bait
A1L390,P29590,PLEKHG3,PML,5,Bait
Q8NI35,P29590,PATJ,PML,5,Bait
Q15393,P29590,SF3B3,PML,5,Bait
P18077,P29590,RPL35A,PML,5,Bait
P08754,P29590,GNAI3,PML,5,Bait
P46783,P29590,RPS10,PML,5,Bait
Q15029,P29590,EFTUD2,PML,5,Bait
Q9NU22,P29590,MDN1,PML,5,Bait
Q9UMS4,P29590,PRPF19,PML,5,Bait
Q92804,P29590,TAF15,PML,5,Bait
Q9P035,P29590,HACD3,PML,5,Bait
O14980,P29590,XPO1,PML,5,Bait
Q92522,P29590,H1FX,PML,5,Bait
Q96FS4,P29590,SIPA1,PML,5,Bait
P14625,P29590,HSP90B1,PML,5,Bait
P14678,P29590,SNRPB,PML,5,Bait
P14618,P29590,PKM,PML,5,Bait
Q6IBS0,P29590,TWF2,PML,5,Bait
P15531,P29590,NME1,PML,5,Bait
Q96JB5,P29590,CDK5RAP3,PML,5,Bait
P54886,P29590,ALDH18A1,PML,5,Bait
P62851,P29590,RPS25,PML,5,Bait
P61254,P29590,RPL26,PML,5,Bait
Q12800,P29590,TFCP2,PML,5,Bait
Q04837,P29590,SSBP1,PML,5,Bait
Q02978,P29590,SLC25A11,PML,5,Bait
P32969,P29590,RPL9,PML,5,Bait
P40939,P29590,HADHA,PML,5,Bait
O00567,P29590,NOP56,PML,5,Bait
P07237,P29590,P4HB,PML,5,Bait
P08579,P29590,SNRPB2,PML,5,Bait
Q15717,P29590,ELAVL1,PML,5,Bait
P35637,P29590,FUS,PML,5,Bait
O43809,P29590,NUDT21,PML,5,Bait
P61313,P29590,RPL15,PML,5,Bait
O95347,P29590,SMC2,PML,5,Bait
P62847,P29590,RPS24,PML,5,Bait
O43143,P29590,DHX15,PML,5,Bait
Q9Y3U8,P29590,RPL36,PML,5,Bait
P04844,P29590,RPN2,PML,5,Bait
P62829,P29590,RPL23,PML,5,Bait
P60842,P29590,EIF4A1,PML,5,Bait
P60174,P29590,TPI1,PML,5,Bait
P52948,P29590,NUP98,PML,5,Bait
A0A2R8Y422,P29590,,PML,5,Bait
P27348,P29590,YWHAQ,PML,6,Bait
Q14152,P29590,EIF3A,PML,6,Bait
P62899,P29590,RPL31,PML,6,Bait
Q08945,P29590,SSRP1,PML,6,Bait
Q9UBX3,P29590,SLC25A10,PML,6,Bait
P36542,P29590,ATP5F1C,PML,6,Bait
P46777,P29590,RPL5,PML,6,Bait
P61981,P29590,YWHAG,PML,6,Bait
Q16695,P29590,HIST3H3,PML,6,Bait
Q9Y3Z3,P29590,SAMHD1,PML,6,Bait
Q9BQI0,P29590,AIF1L,PML,6,Bait
Q9P2E9,P29590,RRBP1,PML,6,Bait
P62753,P29590,RPS6,PML,6,Bait
P39656,P29590,DDOST,PML,6,Bait
P61353,P29590,RPL27,PML,6,Bait
Q15366,P29590,PCBP2,PML,6,Bait
P62888,P29590,RPL30,PML,6,Bait
Q7L014,P29590,DDX46,PML,6,Bait
Q5JWF2,P29590,GNAS,PML,6,Bait
O43592,P29590,XPOT,PML,6,Bait
P46782,P29590,RPS5,PML,6,Bait
Q86V81,P29590,ALYREF,PML,6,Bait
Q16629,P29590,SRSF7,PML,6,Bait
P62244,P29590,RPS15A,PML,6,Bait
P62316,P29590,SNRPD2,PML,6,Bait
Q8IYB3,P29590,SRRM1,PML,6,Bait
P61158,P29590,ACTR3,PML,6,Bait
O60292,P29590,SIPA1L3,PML,6,Bait
P08708,P29590,RPS17,PML,6,Bait
Q06830,P29590,PRDX1,PML,6,Bait
Q9Y383,P29590,LUC7L2,PML,6,Bait
P06733,P29590,ENO1,PML,6,Bait
P50914,P29590,RPL14,PML,6,Bait
P26373,P29590,RPL13,PML,6,Bait
Q13435,P29590,SF3B2,PML,6,Bait
P40429,P29590,RPL13A,PML,6,Bait
P06396,P29590,GSN,PML,6,Bait
Q6UN15,P29590,FIP1L1,PML,7,Bait
P11940,P29590,PABPC1,PML,7,Bait
P41252,P29590,IARS,PML,7,Bait
P16104,P29590,H2AFX,PML,7,Bait
Q9NZR1,P29590,TMOD2,PML,7,Bait
Q13151,P29590,HNRNPA0,PML,7,Bait
P62263,P29590,RPS14,PML,7,Bait
Q9Y277,P29590,VDAC3,PML,7,Bait
P02545,P29590,LMNA,PML,7,Bait
P62750,P29590,RPL23A,PML,7,Bait
P08621,P29590,SNRNP70,PML,7,Bait
Q07021,P29590,C1QBP,PML,7,Bait
